Species,Order,Family,Extinct in Caribbean,Endemic to Caribbean,Acklins,Crooked Island,Fortune Island,East Caicos,Middle Caicos,North Caicos,Providenciales,Andros,Cat Island,Darby,Eleuthera Island,Great Exuma,Little Exuma,Long Island,New Providence,Ragged Island,Great Inagua,Little Inagua,Grand Bahama,Great Abaco,Little Abaco,Mayaguana,East Plana Cay,San Salvador,Cayman Brac,Little Cayman,Archipielago de Samana,Cayo Ballentino del Medio,Cayo de la Piedra,Cayo Fragoso,Cayo Largo,Cayo Maya,Cayos de Ana Maria,Cuba,Isle of Pines,Samana Cay,San Felipe Cays,Grand Cayman,Hispaniola,Ile de la Gonave,Ile de la Tortue,Jamaica,Mona,Navassa,Anegada,Culebra,Guana,Jost van Dyke,Puerto Rico,St. John,St. Thomas,Tortola,Vieques,Virgin Gorda,St. Croix,Anguilla,St. Barthelemy,St. Eustatius,St. Martin,Tintamarre,Antigua,Barbuda,Barbados,Dominica,Bequia,Carriacou,Grenada,Mustique,Union,Guadeloupe,La Desirade,Marie Galante,Martinique,Montserrat,Saba,St. Lucia,St. Vincent,Nevis,St. Kitts,Little Swan Island,Providencia,San Andres
,,,,,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Other,Other,Other
Eumops auripendulus,Chiroptera,Molossidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eumops glaucinus,Chiroptera,Molossidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuba,,,,,,,,Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eumops perotis,Chiroptera,Molossidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Molossus molossus,Chiroptera,Molossidae,,,,,,,,,,,,,,,,,,,,,,,,,,,Cayman Brac,,,,,,,,,Cuba,Isle of Pines,,,Grand Cayman,Hispaniola,Ile de la Gonave,,Jamaica,,,,Culebra,Guana,,Puerto Rico,St. John,St. Thomas,Tortola,Vieques,Virgin Gorda,St. Croix,Anguilla,St. Barthelemy,St. Eustatius,St. Martin,,Antigua,Barbuda,Barbados,Dominica,,Carriacou,Grenada,,Union,Guadeloupe,La Desirade,Marie Galante,Martinique,Montserrat,Saba,St. Lucia,St. Vincent,Nevis,St. Kitts,,,
Mormopterus minutus,Chiroptera,Molossidae,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyctinomops laticaudatus,Chiroptera,Molossidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyctinomops macrotis,Chiroptera,Molossidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuba,,,,,Hispaniola,,,Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tadarida brasiliensis,Chiroptera,Molossidae,,,Acklins,Crooked Island,Fortune Island,,Middle Caicosæ,,,,,,Eleuthera Island,Great Exuma,Little Exuma,Long Island,New Providenceæ,,,,,Great Abaco,Little Abaco,,,,,,,,,,,,,Cuba,Isle of Pines,,,Grand Cayman,Hispaniola,,,Jamaica,,,,,,,Puerto Rico,St. John,,,,,,Anguilla,St. Barthelemy,St. Eustatius,St. Martin,,Antigua,Barbuda,,Dominica,,,,,,Guadeloupe,La Desirade,,Martinique,Montserrat,Saba,St. Lucia,St. Vincent,Nevis,St. Kitts,,,
Tadarida sp.,Chiroptera,Molossidae,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hispaniolaæ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mormoops blainvillei,Chiroptera,Mormoopidae,,1,,,,,,,,,,,,,Little Exumaæ,,New Providenceæ,,,,,Great Abacoæ,,,,,,,,,,,,,,Cuba,,,,,Hispaniola,Ile de la Gonaveæ,,Jamaica,Mona,,,,,,Puerto Rico,,,,,,,Anguillaæ,,,,,Antiguaæ,Barbudaæ,,,,,,,,,,,,,,,,,,,,
Mormoops magna,Chiroptera,Mormoopidae,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cubaæ,,,,,Hispaniolaæ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mormoops megalophylla,Chiroptera,Mormoopidae,1,1,,,,,,,,Androsæ,,,,,,,,,,,,Great Abacoæ,,,,,,,,,,,,,,Cubaæ,,,,,Hispaniolaæ,,,Jamaicaæ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pteronotus davyi,Chiroptera,Mormoopidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dominica,,,Grenada,,,,,Marie Galante,Martinique,,,,,,,,,
Pteronotus macleayii,Chiroptera,Mormoopidae,,1,,,,,,,,,,,,,,,New Providenceæ,,,,,,,,,,,,,,,,,,,Cuba,Isle of Pines,,,,Hispaniolaæ,,,Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pteronotus parnelli parnelliii,Chiroptera,Mormoopidae,,1,,,,,,,,,,,,,,,New Providenceæ,,,,,Great Abacoæ,,,,,,,,,,,,,,Cuba,Isle of Pinesæ,,,Grand Caymanæ,,,,Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pteronotus parnellii portoricensis,Chiroptera,Mormoopidae,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mona,,,,,,Puerto Rico,,,,,,,,,,,,Antiguaæ,,,,,,,,,,,,,,,,,,,,,
Pteronotus parnellii pusillus,Chiroptera,Mormoopidae,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hispaniola,Ile de la Gonaveæ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pteronotus parnellii rubiginosus,Chiroptera,Mormoopidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Vincent,,,,,
Pteronotus pristinus,Chiroptera,Mormoopidae,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cubaæ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
